Template version:,1.0.1,"Must be saved as .csv before uploading. Please see the ""My data sets"" tab at www.pals.unsw.edu.au for detailed instructions on how to use this template. Meta data for your site can be entered when uploading. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local date,local hour-of-day,SW downward,SWdown FLAG,LW downward,LW down FLAG,Air Temp,Air Temp FLAG,Rel humidity,RelHum FLAG,Windspeed,Windspeed FLAG,Rainfall,Rainf FLAG,Snowfall,Snowf FLAG,Air Pressure,Pressure FLAG,Ambient CO2 conc.,CO2air FLAG,Net Radiation,Rnet FLAG,SW upward,SWup FLAG,Latent heat,LatHeat FLAG,Sensible heat,SensHeat FLAG,NEE,NEE FLAG,SoilHeatFlux,SHFlux FLAG
dd/mm/yyyy," real [0,24)",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",C,"0 = obs, -9999 = unknown",%,"0 = obs, -9999 = unknown",m/s,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mb,"0 = obs, -9999 = unknown",ppmv,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",umol m-2 s-2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown"
02/01/1997,17.00,50.67,2,-9999,-9999,1.7,2,61.77,2,3.472,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,12.9,2,-9999.00,-9999,9.57,2,-12.86,2,-0.222,1,-9999.00,-9999
02/01/1997,17.50,17.75,2,-9999,-9999,1.4,2,63.14,2,3.131,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,-12.3,2,-9999.00,-9999,6.57,2,-11.86,2,-0.039,1,-9999.00,-9999
02/01/1997,18.00,0,3,-9999,-9999,0.9,2,65.27,2,2.649,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,-20.3,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,18.50,0,3,-9999,-9999,0.7,2,66.77,2,2.491,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,-19.7,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,19.00,0,3,-9999,-9999,0.7,2,67.26,2,2.757,2,0,1,-9999.00,-9999,977.8,2,-9999.00,-9999,-19.9,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,19.50,0,3,-9999,-9999,0.6,2,67.76,2,2.868,2,0,1,-9999.00,-9999,977.8,2,-9999.00,-9999,-20.5,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,20.00,0,3,-9999,-9999,0.5,2,67.84,2,2.869,2,0,1,-9999.00,-9999,977.8,2,-9999.00,-9999,-20.3,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,20.50,0,3,-9999,-9999,0.2,2,68.96,2,2.826,2,0,1,-9999.00,-9999,978.1,2,-9999.00,-9999,-20.2,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,21.00,0,3,-9999,-9999,0,2,69.53,2,2.806,2,0,1,-9999.00,-9999,978,2,-9999.00,-9999,-19.9,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,21.50,0,3,-9999,-9999,-0.3,2,70.26,2,2.794,2,0,1,-9999.00,-9999,978.1,2,-9999.00,-9999,-19,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,22.00,0,3,-9999,-9999,-0.3,2,70.86,2,2.758,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-19,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,22.50,0,3,-9999,-9999,-0.5,2,71.49,2,2.564,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-19.7,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,23.00,0,3,-9999,-9999,-0.7,2,72.71,2,2.648,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-18.8,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,23.50,0,3,-9999,-9999,-0.7,2,72.53,2,2.621,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-20.8,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
03/01/1997,0.00,0,3,-9999,-9999,-0.3,2,69.81,2,2.576,2,0,1,-9999.00,-9999,979.2,2,-9999.00,-9999,-22.2,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
03/01/1997,0.50,0,3,-9999,-9999,-0.8,2,71.93,2,2.689,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.9,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
03/01/1997,1.00,0,3,-9999,-9999,-0.9,2,72.05,2,2.659,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.3,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
03/01/1997,1.50,0,3,-9999,-9999,-1.1,2,72.26,2,2.483,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
03/01/1997,2.00,0,3,-9999,-9999,-1.2,2,72.05,2,2.414,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-15.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
